User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
1,25,Female,Instagram,120,3,45,10,12,Happiness
2,30,Male,Twitter,90,5,20,25,30,Anger
3,22,Non-binary,Facebook,60,2,15,5,20,Neutral
4,28,Female,Instagram,200,8,100,30,50,Anxiety
5,33,Male,LinkedIn,45,1,5,2,10,Boredom
6,21,Male,Instagram,150,4,60,15,25,Happiness
7,27,Female,Twitter,85,3,30,10,18,Anger
8,24,Non-binary,Facebook,110,6,25,12,22,Sadness
9,29,Female,LinkedIn,55,2,10,3,8,Neutral
10,31,Male,Instagram,170,5,80,20,35,Happiness
11,23,Female,Twitter,75,4,35,7,20,Anxiety
12,26,Non-binary,Facebook,95,3,20,10,18,Sadness
13,34,Male,LinkedIn,65,1,12,4,15,Boredom
14,22,Female,Instagram,180,7,90,25,40,Happiness
15,28,Male,Twitter,100,6,40,23,28,Anger
16,21,Non-binary,Facebook,40,1,5,2,10,Neutral
17,35,Female,Instagram,125,4,55,18,30,Anxiety
18,27,Male,Twitter,90,3,33,15,25,Sadness
19,23,Non-binary,LinkedIn,50,1,8,3,12,Neutral
20,32,Female,Instagram,140,5,70,22,33,Happiness
21,26,Male,Facebook,75,2,25,10,18,Anxiety
22,24,Female,Twitter,105,4,28,14,20,Anger
23,29,Male,LinkedIn,60,2,11,5,17,Boredom
24,33,Non-binary,Instagram,190,8,95,26,45,Happiness
25,22,Female,Twitter,70,3,20,12,15,Sadness
26,31,Male,Facebook,80,2,18,8,21,Neutral
27,27,Non-binary,LinkedIn,55,1,9,2,11,Anxiety
28,25,Female,Instagram,160,6,85,19,32,Happiness
29,30,Male,Twitter,90,4,38,17,24,Anger
30,26,Non-binary,Facebook,45,1,6,3,10,Sadness
31,34,Female,LinkedIn,65,2,13,4,14,Boredom
32,28,Male,Instagram,145,5,75,20,35,Happiness
33,23,Non-binary,Twitter,70,3,27,11,18,Neutral
34,21,Female,Instagram,130,6,88,15,30,Sadness
35,29,Male,Facebook,65,2,22,8,20,Anxiety
36,24,Non-binary,LinkedIn,55,1,10,5,11,Boredom
37,33,Female,Instagram,170,7,90,25,40,Happiness
38,27,Male,Twitter,85,4,35,15,20,Anger
39,22,Female,Instagram,115,3,55,12,25,Neutral
40,28,Non-binary,Facebook,100,2,18,10,22,Anxiety
41,31,Male,LinkedIn,45,1,6,2,9,Sadness
42,25,Female,Instagram,150,6,80,18,30,Happiness
43,29,Male,Twitter,95,4,40,20,22,Anger
44,23,Non-binary,Facebook,105,2,20,8,18,Neutral
45,35,Female,LinkedIn,60,1,12,5,14,Boredom
46,30,Male,Instagram,175,7,85,23,38,Happiness
47,21,Female,Twitter,90,3,33,12,20,Sadness
48,26,Non-binary,Facebook,75,2,28,11,18,Anxiety
49,32,Male,Instagram,130,5,70,19,31,Neutral
50,28,Female,LinkedIn,55,1,8,4,10,Boredom
51,27,Male,Instagram,165,6,78,22,27,Happiness
,,,,,,,,,
52,24,Female,Twitter,75,3,29,15,19,Anger
,,,,,,,,,
53,29,Non-binary,Facebook,85,2,25,7,20,Neutral
,,,,,,,,,
54,33,Female,Instagram,145,4,60,18,35,Sadness
,,,,,,,,,
55,31,Male,LinkedIn,60,1,10,3,17,Anxiety
,,,,,,,,,
56,22,Female,Whatsapp,70,2,40,8,21,Anxiety
,,,,,,,,,
57,25,Male,Telegram,90,3,20,10,22,Boredom
,,,,,,,,,
58,29,Non-binary,Snapchat,50,2,15,5,18,Sadness
,,,,,,,,,
59,28,Female,Twitter,95,4,45,20,25,Happiness
,,,,,,,,,
60,27,Male,Facebook,60,1,10,4,15,Boredom
,,,,,,,,,
61,30,Female,Instagram,175,6,70,23,33,Happiness
,,,,,,,,,
62,23,Male,Whatsapp,70,3,20,8,18,Anger
,,,,,,,,,
63,34,Non-binary,Telegram,80,2,18,7,20,Neutral
,,,,,,,,,
64,26,Female,Snapchat,120,4,50,15,30,Anxiety
,,,,,,,,,
65,25,Male,Twitter,90,6,40,12,26,Sadness
,,,,,,,,,
66,29,Non-binary,Facebook,60,1,8,2,12,Boredom
,,,,,,,,,
67,28,Male,Instagram,165,5,75,18,35,Happiness
,,,,,,,,,
68,31,Female,Whatsapp,65,2,25,8,20,Neutral
,,,,,,,,,
69,27,Male,Telegram,105,3,45,15,28,Anxiety
,,,,,,,,,
70,22,Non-binary,Snapchat,75,2,18,6,20,Sadness
,,,,,,,,,
71,24,Female,Instagram,140,4,60,18,30,Happiness
,,,,,,,,,
72,35,Male,Twitter,70,1,12,7,10,Boredom
,,,,,,,,,
73,21,Non-binary,Facebook,55,3,15,5,12,Neutral
,,,,,,,,,
74,29,Female,Whatsapp,90,2,20,9,22,Anger
,,,,,,,,,
75,25,Male,Telegram,80,4,28,11,25,Neutral
,,,,,,,,,
76,28,Non-binary,Snapchat,115,3,36,12,27,Anxiety
,,,,,,,,,
77,32,Female,Instagram,155,6,72,20,38,Happiness
,,,,,,,,,
78,26,Male,Twitter,75,2,22,10,18,Sadness
,,,,,,,,,
79,33,Non-binary,Facebook,65,1,12,5,14,Anxiety
,,,,,,,,,
80,27,Female,Whatsapp,90,4,35,14,20,Neutral
,,,,,,,,,
81,31,Male,Telegram,50,2,18,6,12,Sadness
,,,,,,,,,
82,24,Non-binary,Snapchat,85,3,30,13,18,Happiness
,,,,,,,,,
83,34,Female,Instagram,120,5,55,19,25,Anger
,,,,,,,,,
84,22,Male,Twitter,70,1,20,5,22,Neutral
,,,,,,,,,
